                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4479,                  2.065,                 1.0736,                0.81687,                0.76933,                0.82281,                0.46947,                 1.3253,                 1.3222,                 1.0022,               0.003323,               0.003323,               0.003323
                      2,                 1.4419,                 1.2737,                 1.0758,                0.86019,                0.81775,                0.87103,                0.51644,                 1.2812,                0.94511,                 1.0061,              0.0065904,              0.0065904,              0.0065904
                      3,                 1.5126,                  1.212,                 1.1198,                0.74268,                0.58861,                0.66014,                  0.341,                 1.5998,                 1.5361,                 1.2316,              0.0097919,              0.0097919,              0.0097919
                      4,                 1.5717,                 1.2097,                 1.1682,                0.83266,                0.72431,                 0.8165,                0.44493,                 1.4493,                 1.0458,                 1.1153,               0.009703,               0.009703,               0.009703
                      5,                 1.5118,                 1.0907,                 1.1366,                0.84621,                0.76108,                0.84266,                0.47382,                 1.3978,                 1.0322,                 1.1049,               0.009703,               0.009703,               0.009703
                      6,                 1.4658,                 1.0384,                 1.1254,                0.87195,                0.81886,                0.87902,                 0.4896,                 1.4297,                0.92228,                 1.1235,               0.009604,               0.009604,               0.009604
                      7,                 1.4349,                0.99859,                 1.1145,                0.88252,                0.79635,                 0.8775,                0.53041,                  1.296,                0.83436,                  1.036,               0.009505,               0.009505,               0.009505
                      8,                 1.3941,                0.95241,                 1.0931,                0.87522,                0.77686,                0.86119,                0.50256,                 1.3706,                0.87217,                 1.0683,               0.009406,               0.009406,               0.009406
                      9,                 1.3765,                0.92044,                 1.0871,                0.91636,                0.70095,                0.80301,                0.48509,                 1.3228,                 1.2801,                 1.0596,               0.009307,               0.009307,               0.009307
                     10,                 1.3492,                0.90853,                  1.081,                0.87006,                0.81962,                  0.885,                0.52281,                 1.3107,                0.79139,                 1.0308,               0.009208,               0.009208,               0.009208
                     11,                 1.3338,                0.88349,                 1.0681,                0.92715,                0.82437,                0.91261,                0.55821,                 1.2476,                0.70421,                 1.0187,               0.009109,               0.009109,               0.009109
                     12,                 1.3218,                0.86085,                 1.0601,                 0.8931,                0.85927,                0.90924,                0.56317,                 1.2236,                0.73448,                 1.0055,                0.00901,                0.00901,                0.00901
                     13,                 1.3073,                0.84991,                 1.0563,                0.88043,                0.85049,                0.91863,                0.57156,                 1.2364,                0.71525,                 1.0207,               0.008911,               0.008911,               0.008911
                     14,                 1.2898,                0.83967,                 1.0516,                0.89167,                0.88449,                0.92566,                0.57566,                 1.1949,                0.68746,                 1.0049,               0.008812,               0.008812,               0.008812
                     15,                 1.2862,                0.82334,                 1.0449,                 0.9108,                0.86551,                 0.9208,                0.58348,                 1.1779,                0.68399,                0.99221,               0.008713,               0.008713,               0.008713
                     16,                 1.2643,                0.80841,                 1.0417,                0.91103,                  0.875,                0.93835,                0.59417,                 1.1736,                0.64132,                0.98911,               0.008614,               0.008614,               0.008614
                     17,                 1.2591,                0.79389,                 1.0373,                0.92299,                0.86076,                0.92577,                0.58463,                 1.1838,                0.67062,                 0.9963,               0.008515,               0.008515,               0.008515
                     18,                 1.2581,                0.79643,                 1.0369,                0.91394,                0.87377,                0.92431,                0.58216,                 1.1944,                0.64925,                 1.0107,               0.008416,               0.008416,               0.008416
                     19,                 1.2412,                0.77578,                 1.0306,                0.92674,                0.86063,                0.92628,                0.58123,                  1.197,                0.65971,                0.98797,               0.008317,               0.008317,               0.008317
                     20,                 1.2396,                0.77322,                 1.0281,                0.89599,                0.88593,                0.93196,                0.57934,                 1.2397,                0.64906,                 1.0059,               0.008218,               0.008218,               0.008218
                     21,                  1.233,                0.77218,                 1.0279,                0.90886,                0.89939,                0.93724,                0.61023,                  1.165,                0.61378,                 0.9868,               0.008119,               0.008119,               0.008119
                     22,                  1.218,                0.75767,                 1.0252,                0.92327,                0.86867,                0.93501,                0.59252,                  1.186,                0.65307,                 0.9928,                0.00802,                0.00802,                0.00802
                     23,                 1.2137,                0.74546,                  1.026,                0.92787,                0.87521,                0.94719,                0.60658,                 1.1441,                0.60675,                0.97852,               0.007921,               0.007921,               0.007921
                     24,                 1.2145,                 0.7412,                  1.017,                0.92546,                0.88407,                0.93498,                0.61462,                 1.1404,                0.59874,                0.97928,               0.007822,               0.007822,               0.007822
                     25,                 1.2019,                0.73114,                 1.0154,                0.91904,                 0.8801,                0.94299,                0.60973,                  1.128,                0.59666,                0.97827,               0.007723,               0.007723,               0.007723
                     26,                 1.2036,                0.72719,                 1.0155,                0.91334,                0.89873,                0.95128,                0.62509,                 1.1249,                0.58472,                0.96898,               0.007624,               0.007624,               0.007624
                     27,                 1.1944,                0.73366,                  1.014,                0.92713,                0.88572,                 0.9424,                0.62668,                 1.1092,                0.59233,                0.96423,               0.007525,               0.007525,               0.007525
                     28,                 1.1932,                 0.7215,                 1.0061,                0.91448,                 0.9019,                 0.9523,                0.64474,                 1.0805,                0.56526,                0.95634,               0.007426,               0.007426,               0.007426
                     29,                 1.1793,                0.71477,                 1.0081,                0.92908,                0.87061,                0.93601,                 0.6233,                 1.1267,                0.57627,                0.97332,               0.007327,               0.007327,               0.007327
                     30,                 1.1733,                 0.7118,                 1.0053,                 0.9245,                0.88133,                0.95399,                 0.6359,                 1.1066,                0.55843,                0.95819,               0.007228,               0.007228,               0.007228
                     31,                 1.1754,                 0.7009,                 1.0044,                0.91376,                0.90536,                0.94924,                0.62619,                  1.105,                 0.5529,                0.96982,               0.007129,               0.007129,               0.007129
                     32,                 1.1644,                0.70286,                0.99847,                 0.9187,                0.89394,                0.94613,                0.63142,                 1.1135,                0.55928,                0.96314,                0.00703,                0.00703,                0.00703
                     33,                 1.1641,                0.70264,                0.99818,                  0.919,                0.89759,                0.94854,                0.63236,                 1.1047,                0.55109,                0.95599,               0.006931,               0.006931,               0.006931
                     34,                 1.1557,                0.67973,                 0.9953,                0.91407,                 0.9193,                0.94989,                0.64105,                 1.0919,                 0.5381,                0.95708,               0.006832,               0.006832,               0.006832
                     35,                  1.146,                0.68243,                 0.9943,                0.94861,                0.87816,                0.95523,                0.63877,                 1.1068,                0.53075,                0.95908,               0.006733,               0.006733,               0.006733
                     36,                 1.1432,                 0.6821,                0.99216,                0.94398,                0.87981,                 0.9505,                 0.6449,                 1.0686,                0.52829,                0.94806,               0.006634,               0.006634,               0.006634
                     37,                 1.1509,                0.67877,                0.99703,                0.90987,                0.92247,                0.95687,                0.63908,                 1.0915,                 0.5261,                0.95705,               0.006535,               0.006535,               0.006535
                     38,                 1.1398,                0.67023,                 0.9958,                0.90966,                0.92405,                0.95436,                 0.6469,                 1.0737,                0.52254,                 0.9459,               0.006436,               0.006436,               0.006436
                     39,                 1.1359,                0.66692,                0.99024,                0.91294,                0.92247,                0.95109,                0.64771,                 1.0705,                0.51928,                0.94983,               0.006337,               0.006337,               0.006337
                     40,                 1.1278,                0.65949,                0.98395,                0.91456,                0.91457,                0.95538,                0.65612,                 1.0644,                0.50454,                0.94517,               0.006238,               0.006238,               0.006238
                     41,                 1.1242,                0.65979,                0.98339,                0.91946,                0.90319,                0.95218,                0.64515,                 1.0693,                0.51052,                0.94533,               0.006139,               0.006139,               0.006139
                     42,                 1.1311,                0.65652,                 0.9836,                0.92201,                0.91665,                0.95257,                0.64716,                 1.0644,                0.50146,                0.94466,                0.00604,                0.00604,                0.00604
                     43,                   1.12,                0.64735,                0.98253,                0.92468,                0.90981,                0.94909,                0.65075,                 1.0542,                0.50305,                0.94318,               0.005941,               0.005941,               0.005941
                     44,                 1.1103,                  0.651,                0.97787,                0.94905,                0.88924,                0.95523,                0.64674,                 1.0583,                0.50097,                0.94183,               0.005842,               0.005842,               0.005842
                     45,                 1.1108,                0.64458,                0.97451,                0.92893,                0.90032,                0.95156,                0.64814,                  1.067,                0.49556,                0.94209,               0.005743,               0.005743,               0.005743
                     46,                 1.1112,                0.64189,                 0.9765,                0.95394,                 0.9019,                0.95892,                0.65268,                 1.0557,                0.49521,                 0.9433,               0.005644,               0.005644,               0.005644
                     47,                  1.104,                0.63645,                0.97856,                0.92948,                0.92247,                0.95702,                0.65036,                 1.0619,                0.49222,                0.94101,               0.005545,               0.005545,               0.005545
                     48,                 1.1021,                0.63473,                0.97201,                0.92751,                0.93128,                0.96114,                0.66109,                 1.0437,                0.48414,                0.93532,               0.005446,               0.005446,               0.005446
                     49,                 1.0953,                0.62661,                 0.9748,                0.92611,                0.92722,                0.95943,                 0.6592,                 1.0441,                0.49301,                 0.9339,               0.005347,               0.005347,               0.005347
                     50,                 1.0988,                0.62218,                0.97327,                0.93409,                0.91939,                0.96188,                0.66868,                 1.0394,                0.47896,                0.93204,               0.005248,               0.005248,               0.005248
                     51,                 1.0902,                 0.6224,                0.97133,                0.93672,                0.91614,                0.95879,                0.66653,                 1.0192,                0.47815,                0.92515,               0.005149,               0.005149,               0.005149
                     52,                 1.0864,                0.62608,                0.97007,                0.92874,                0.92802,                0.96201,                0.66649,                 1.0248,                0.47246,                0.93027,                0.00505,                0.00505,                0.00505
                     53,                 1.0768,                0.61354,                0.96225,                0.92253,                0.92722,                0.95619,                0.66192,                 1.0333,                0.47445,                0.93254,               0.004951,               0.004951,               0.004951
